Time,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2018,UHF42,101,4,Kingsbridge - Riverdale,60.2,55,412
2018,UHF42,102,4,Northeast Bronx,125.7,122.1,1957
2018,UHF42,103,4,Fordham - Bronx Pk,155.8,155.3,3067
2018,UHF42,104,4,Pelham - Throgs Neck,112.1,110.6,2572
2018,UHF42,105,4,Crotona -Tremont,224.2,228.2,3512
2018,UHF42,106,4,High Bridge - Morrisania,235.8,241.8,3832
2018,UHF42,107,4,Hunts Point - Mott Haven,256,258.1,2629
2018,UHF42,201,4,Greenpoint,51.5,42.6,458
2018,UHF42,202,4,Downtown - Heights - Slope,71.3,63.9,1336
2018,UHF42,203,4,Bedford Stuyvesant - Crown Heights,175.2,173.2,4414
2018,UHF42,204,4,East New York,183.1,185.1,2561
2018,UHF42,205,4,Sunset Park,46.8,45.3,429
2018,UHF42,206,4,Borough Park,28.3,28,653
2018,UHF42,207,4,East Flatbush - Flatbush,117.5,111.2,2608
2018,UHF42,208,4,Canarsie - Flatlands,84.2,80.3,1304
2018,UHF42,209,4,Bensonhurst - Bay Ridge,20.9,20.5,337
2018,UHF42,210,4,Coney Island - Sheepshead Bay,47.3,45.8,1059
2018,UHF42,211,4,Williamsburg - Bushwick,158.7,149.3,2469
2018,UHF42,301,4,Washington Heights,75.3,73.6,1629
2018,UHF42,302,4,Central Harlem - Morningside Heights,218.6,221.8,3233
2018,UHF42,303,4,East Harlem,262.4,263.6,2399
2018,UHF42,304,4,Upper West Side,56,52.8,982
2018,UHF42,305,4,Upper East Side,18,16.3,299
2018,UHF42,306,4,Chelsea - Clinton,52.2,47,688
2018,UHF42,307,4,Gramercy Park - Murray Hill,39.3,33.4,401
2018,UHF42,308,4,Greenwich Village - SoHo,14.3,14,102
2018,UHF42,309,4,Union Square - Lower East Side,78.8,76.2,1253
2018,UHF42,310,4,Lower Manhattan,56.7,47.7,247
2018,UHF42,401,4,Long Island City - Astoria,51.3,46.7,825
2018,UHF42,402,4,West Queens,37.8,37.5,1347
2018,UHF42,403,4,Flushing - Clearview,20.5,19.6,410
2018,UHF42,404,4,Bayside - Little Neck,14,12.9,92
2018,UHF42,405,4,Ridgewood - Forest Hills,32.9,31.3,645
2018,UHF42,406,4,Fresh Meadows,33.8,32.2,253
2018,UHF42,407,4,Southwest Queens,45.4,45.3,987
2018,UHF42,408,4,Jamaica,62.3,62.5,1555
2018,UHF42,409,4,Southeast Queens,43.9,42.1,721
2018,UHF42,410,4,Rockaways,110.4,104.6,983
2018,UHF42,501,4,Port Richmond,135.3,137.2,690
2018,UHF42,502,4,Stapleton - St. George,95.5,89,864
2018,UHF42,503,4,Willowbrook,42.1,38.3,281
2018,UHF42,504,4,South Beach - Tottenville,26.6,24.6,375
